dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,PCC,stress_fidelity_p75__vs_ambient,True,3,0.5843087492577868,0.584616613538332,0.0007187634813275959,0.5839315903152458,0.5856095010419634
clusters,1.0,PCC,stress_p100__vs_ambient,True,3,0.3844318678116372,0.384176168651984,0.0009773062812409694,0.3828720304996362,0.3852246076446787
clusters,1.0,PCC,stress_fidelity_p100__vs_ambient,True,3,0.6155681321883628,0.6158238313480159,0.0009773062812409845,0.6147753923553212,0.6171279695003637
clusters,1.0,PCC,pp_shepard_p5__vs_ambient,True,3,0.1315383344949758,0.1414052843212601,0.018218845843195323,0.1257263359990967,0.1669511824697078
clusters,1.0,PCC,pp_shepard_p10__vs_ambient,True,3,0.1200267206901828,0.13170035968868954,0.01705540216857652,0.1192581001876969,0.1558162581881889
clusters,1.0,PCC,pp_shepard_p20__vs_ambient,True,3,0.6694891045665503,0.6734551975975708,0.0064587067798577945,0.6683125919005296,0.6825638963256325
clusters,1.0,PCC,pp_shepard_p30__vs_ambient,True,3,0.7844743914622344,0.7824578821826315,0.003343611046633417,0.7777455932569857,0.7851536618286742
clusters,1.0,PCC,pp_shepard_p50__vs_ambient,True,3,0.663615901687862,0.663638481502929,0.007098222727504942,0.6549562815215937,0.6723432612993314
clusters,1.0,PCC,pp_shepard_p75__vs_ambient,True,3,0.5388662794745807,0.5381679525323056,0.008820053027969066,0.5270334166644658,0.5486041614578705
clusters,1.0,PCC,pp_shepard_p100__vs_ambient,True,3,0.4755585770817306,0.47076588839217465,0.01029674960993548,0.456461262049631,0.4802778260451625
clusters,1.0,PCC,full_shepard,True,3,0.4755585770817293,0.47076588839217365,0.010296749609935676,0.4564612620496297,0.4802778260451619
clusters,1.0,PCC,full_stress,True,3,0.3844318678116372,0.384176168651984,0.0009773062812409694,0.3828720304996362,0.3852246076446787
