method,outlier_factor,metric,median,ci_lo,ci_hi,n_runs
t-SNE,5.0,shepard_p5__vs_ambient,0.34607230051417937,0.34374087901812167,0.35358570122000144,3
t-SNE,5.0,outlier_shepard__vs_ambient,0.06962163492218316,0.0516579053456345,0.07254436190349708,3
t-SNE,5.0,pair_angle_2d_max,0.0005391653244387277,0.00026309807560992123,0.0011957736190539743,3
t-SNE,8.0,full_shepard,0.49706097076747735,0.4969299338915174,0.513551685968736,3
t-SNE,8.0,shepard_p5__vs_ambient,0.34474430196518935,0.34128301787555493,0.3453124657950718,3
t-SNE,8.0,outlier_shepard__vs_ambient,0.06367346910990454,0.05606413688835276,0.0738616550964421,3
t-SNE,8.0,pair_angle_2d_max,0.00044302297227896215,7.352869949423833e-05,0.0011945590073619459,3
toorPIA,1.5,full_shepard,0.6924945600903696,0.6924945600903696,0.6924945600903696,1
toorPIA,1.5,shepard_p5__vs_ambient,0.2186753502036464,0.2186753502036464,0.2186753502036464,1
toorPIA,1.5,outlier_shepard__vs_ambient,0.43103311731128996,0.43103311731128996,0.43103311731128996,1
toorPIA,1.5,pair_angle_2d_max,1.1116879764981935,1.1116879764981935,1.1116879764981935,1
toorPIA,2.0,full_shepard,0.698665283268072,0.698665283268072,0.698665283268072,1
toorPIA,2.0,shepard_p5__vs_ambient,0.22067973362034313,0.22067973362034313,0.22067973362034313,1
toorPIA,2.0,outlier_shepard__vs_ambient,0.6498344377095334,0.6498344377095334,0.6498344377095334,1
toorPIA,2.0,pair_angle_2d_max,0.45909858436742695,0.45909858436742695,0.45909858436742695,1
toorPIA,3.0,full_shepard,0.700572450931903,0.700572450931903,0.700572450931903,1
toorPIA,3.0,shepard_p5__vs_ambient,0.22522857413432099,0.22522857413432099,0.22522857413432099,1
toorPIA,3.0,outlier_shepard__vs_ambient,0.7441690676285331,0.7441690676285331,0.7441690676285331,1
toorPIA,3.0,pair_angle_2d_max,0.1726245519370599,0.1726245519370599,0.1726245519370599,1
toorPIA,5.0,full_shepard,0.7010138061319853,0.7010138061319853,0.7010138061319853,1
toorPIA,5.0,shepard_p5__vs_ambient,0.22898772081485178,0.22898772081485178,0.22898772081485178,1
toorPIA,5.0,outlier_shepard__vs_ambient,0.7510172926213552,0.7510172926213552,0.7510172926213552,1
toorPIA,5.0,pair_angle_2d_max,0.02396512439342372,0.02396512439342372,0.02396512439342372,1
toorPIA,8.0,full_shepard,0.7015055196968724,0.7015055196968724,0.7015055196968724,1
toorPIA,8.0,shepard_p5__vs_ambient,0.23180603948513906,0.23180603948513906,0.23180603948513906,1
toorPIA,8.0,outlier_shepard__vs_ambient,0.7519739218593048,0.7519739218593048,0.7519739218593048,1
toorPIA,8.0,pair_angle_2d_max,0.005118340255589538,0.005118340255589538,0.005118340255589538,1
